    25357/  4 | SET 0
    25357/  4 | 0 
    25357/  4 | 0 
    25358/  4 | 0 
    25358/  4 | 0 
    25358/  4 | 0 
    25358/  4 | 0 
    25358/  4 | 0 
    25359/  4 | 0 
    25359/  4 | 0 
    25359/  4 | 0 
    25359/  4 | 0 
    25359/  4 | 0 
    25360/  4 | 0 
    25360/  4 | 0 
    25360/  4 | 0 
    25360/  4 | 0 
    25360/  4 | 0 
    25361/  4 | 0 
    25361/  4 | 0 
    25361/  4 | 0 
    25361/  4 | 0 
    25361/  4 | 0 
    25362/  4 | 0 
    25362/  4 | 0 
    25362/  4 | 0 
    25362/  4 | 0 
    25362/  4 | 0 
    25363/  4 | 0 
    25363/  4 | 0 
    25363/  4 | 0 
    25363/  4 | 0 
    25363/  4 | 0 
    25364/  4 | 0 
    25364/  4 | 0 
    25364/  4 | 0 
    25364/  4 | 0 
    25364/  4 | 0 
    25365/  4 | 0 
    25365/  4 | 0 
    25365/  4 | 0 
    25365/  4 | 0 
    25365/  4 | 0 
    25366/  4 | 0 
    25366/  4 | 0 
    25366/  4 | 0 
    25366/  4 | 0 
    25367/  4 | 0 
    25367/  4 | 0 
    25367/  4 | 0 
    25367/  4 | 0 
    25367/  4 | 0 
    25368/  4 | 0 
    25368/  4 | 0 
    25368/  4 | 0 
    25368/  4 | 0 
    25368/  4 | 0 
    25369/  4 | 0 
    25369/  4 | 0 
    25369/  4 | 0 
    25369/  4 | 0 
    25369/  4 | 0 
    25370/  4 | 0 
    25370/  4 | 0 
    25370/  4 | 0 
    25370/  4 | 0 
    25370/  4 | 0 
    25371/  4 | 0 
    25371/  4 | 0 
    25371/  4 | 0 
    25371/  4 | 0 
    25371/  4 | 0 
    25372/  4 | 0 
    25372/  4 | 0 
    25372/  4 | 0 
    25372/  4 | 0 
    25372/  4 | 0 
    25373/  4 | 0 
    25373/  4 | 0 
    25373/  4 | 0 
    25373/  4 | 0 
    25373/  4 | 0 
    25374/  4 | 0 
    25374/  4 | 0 
    25374/  4 | 0 
    25374/  4 | 32645 
    25375/  4 | 32645 
    25375/  4 | 32645 
    25375/  4 | 32645 
    25375/  4 | 32645 
    25375/  4 | 32645 
    25376/  4 | 32645 
    25376/  4 | 32645 
    25376/  4 | 32645 
    25376/  4 | 32645 
    25377/  4 | 32645 
    25377/  4 | 32645 
    25377/  4 | 32645 
    25377/  4 | 32645 
    25378/  4 | 32645 
    25378/  4 | 32645 
    25378/  4 | 32645 
    25378/  4 | 32645 
    25379/  4 | 32645 
    25379/  4 | 32645 
    25379/  4 | 32645 
    25379/  4 | 32645 
    25380/  4 | 32645 
    25380/  4 | 32645 
    25380/  4 | 32645 
    25380/  4 | 32645 
    25381/  4 | 32645 
    25381/  4 | 32645 
    25381/  4 | 32645 
    25381/  4 | 32645 
    25382/  4 | 32645 
    25382/  4 | 32645 
    25382/  4 | 32645 
    25382/  4 | 32645 
    25383/  4 | 32645 
    25383/  4 | 32645 
    25383/  4 | 32645 
    25383/  4 | 32645 
    25384/  4 | 32645 
    25384/  4 | 32645 
    25384/  4 | 32645 
    25384/  4 | 32645 
    25385/  4 | 32645 
    25385/  4 | 32645 
    25385/  4 | 32645 
    25385/  4 | 32645 
    25386/  4 | 32645 
    25386/  4 | 32645 
    25386/  4 | 32645 
    25386/  4 | 32645 
    25387/  4 | 32645 
    25387/  4 | 32645 
    25387/  4 | 32645 
    25387/  4 | 32645 
    25388/  4 | 32645 
    25388/  4 | 32645 
    25388/  4 | 32645 
    25388/  4 | 32645 
    25389/  4 | 32645 
    25389/  4 | 32645 
    25389/  4 | 32645 
    25389/  4 | 32645 
    25390/  4 | 32645 
    25390/  4 | 32645 
    25390/  4 | 32645 
    25390/  4 | 32645 
    25391/  4 | 32645 
    25391/  4 | 32645 
    25391/  4 | 32645 
    25391/  4 | 32645 
    25392/  4 | 32645 
    25392/  4 | 32645 
    25392/  4 | 32645 
    25392/  4 | 32645 
    25393/  4 | 32645 
    25393/  4 | 32645 
    25393/  4 | 32645 
    25393/  4 | 32645 
    25394/  4 | 32645 
    25394/  4 | 32645 
    25394/  4 | 32645 
    25394/  4 | 32645 
    25395/  4 | 32645 
    25395/  4 | 32645 
    25395/  4 | 32645 
    25395/  4 | 32645 
    25396/  4 | 32645 
    25396/  4 | 32645 
    25396/  4 | 32645 
    25396/  4 | 32645 
    25397/  4 | 32645 
    25397/  4 | 32645 
    25397/  4 | 32645 
    25397/  4 | 32645 
    25398/  4 | 32645 
    25398/  4 | 32645 
    25398/  4 | 32645 
    25398/  4 | 32645 
    25399/  4 | 32645 
    25399/  4 | 32645 
    25399/  4 | 32645 
    25399/  4 | 32645 
    25400/  4 | 32645 
    25400/  4 | 32645 
    25400/  4 | 32645 
    25400/  4 | 32645 
    25401/  4 | 32645 
    25401/  4 | 32645 
    25401/  4 | 32645 
    25401/  4 | 32645 
    25402/  4 | 32645 
    25402/  4 | 32645 
    25402/  4 | 32645 
    25402/  4 | 32645 
    25403/  4 | 32645 
    25403/  4 | 32645 
